ISBN,Title,Ownership,Category,SubCategory,HeHasRead
987-0-19-751897-7,How Social Science Got Better,His,Research,,0
987-1-4767-0032-8,"Why we're Polarized",His,Governance,,0
978-1-118-40495-9,"Facilitator's Guide to Participatory Decision-Making",His,Instructional Design,,1
978-1-78966-470-6,How to Future,His,Governance,,0
987-0-06-229298-8,Crossing the Chasm,His,Information Policy,,0
978-981-123-653-2,Refreshing the Singapore System,His,Singapore,,1
978-0-521-71638-3,Spatial Analysis for the Social Sciences,His,Research,,0
978-1-4129-1177-1,The Sage Handbook of Public Opinion Research,His,Research,,0
978-0-19-958556-4,The Oxford Handbook of Political Methodology,His,Research,,0
978-0-19-967302-5,The Oxord Handbook of American Public Opinion and the Media,His,Research,,0
978-1-7348231-1-0,Out of the Box,His,Games,,0
978-0-393-91272-2,Policy Paradox,His,Governance,,0
978-1-137-54518-3,Understanding Public Policy,His,Governance,,0
978-0-262-53975-3,Researching Internet Governance,His,Information Policy,,0
978-1-107-63769-9,"Privacy, Big Data, and the Public Good",His,Information Policy,,0
978-0-19-754511-9,Liars,His,Information Policy,,0
978-1-61039-370-6,"To Save Everything, Click Here",His,Technology,,0
978-1-78811-765-4,Handbook on Theories of Governance,His,Governance,,0
978-0-19-967706-1,The Oxford Handbook of Governance,His,Governance,,0
978-0-9991745-0-0,Map It The Hands On Guide to Strategic Training Design,His,Instructional Design,,1
978-0-13-421128-2,Design for How People Learn,His,Instructional Design,,1
978-0-393-28366-2,Essential Readings in World Politics,His,International Affairs,,0
978-0-19-090628-3,The Ideas Industry,His,Sociology,,1
978-0-393-64327-5,Essentials of International Relations,His,International Affairs,,0
978-0-691-16370-3,Theories of International Politics and Zombies,His,International Affairs,,1
978-0-7869-6580-9,Sword Coast Adventurer's Guide,His,Games,,0
978-0-241-95318-1,Snow Crash,His,Fiction,,1
978-1-328-54639-5,AI Superpowers,His,Technology,,1
978-1-55597-604-0,Red Plenty,His,History,,0
978-0-00-831788-1,Uncanny Valley,His,Technology,,1
978-0-099-53311-5,Manufacturing Consent,His,Media,,0
978-0-7869-6683-7,Dungeons & Dragons Essentials Kit,His,Games,,0
978-0-7869-6626-4,Waterdeep Dungeon of the Mad Mage,His,Games,,0
978-0-7869-6609-7,Tales from the Yawning Portal,His,Games,,0
978-0-7869-6598-4,Curse of Strahd,His,Games,,1
978-0-7869-6676-9,Baldur's Gate Descent into Avernus,His,Games,,0
978-0-7869-6675-2,Ghosts of Saltmarsh,His,Games,,0
978-0-7869-6625-7,Waterdeep Dragon Heist,His,Games,,1
978-981-48-2820-8,Reluctant Editor,His,Singapore,,1
978-1-119-49144-6,Information Governance,His,Information Policy,,0
978-1-7945-8151-7,The Elements of Thinking in Systems,His,Management,,1
978-1-5098-6808-7,Bad Blood,His,Technology,,0
978-1-940858-98-2,Data Story,His,Data Visualisation,,1
978-0-19-884350-4,Society & The Internet,His,Information Policy,,0
978-0-19-537675-3,Better Powerpoint,His,Data Visualisation,,1
978-1-5381-0331-9,Political Influence Operations,His,Information Policy,,1
978-0-13-396615-2,The Non-Designer's Design Book,His,Data Visualisation,,1
978-1-324-00156-0,How Charts Lie,His,Data Visualisation,,0
978-0-857-52419-5,The Travelling Cat Chronicles,His,Fiction,,0
