title,subtitle,ownership,he_has_read,no_dash_isbn,has_googlebooks_data,has_openbooks_data,authors,publisher,published_date,page_count,description,categories,category,subcategory,subjects,subject_places,googlebooks_link,openbooks_link,thumbnail_link,dewey_decimal_class
Manga for the Beginner Chibis,Everything You Need to Start Drawing the Super-cute Characters of Japanese Comics,His,0,9780823014880,1.0,1.0,Christopher Hart,Random House LLC,2010,192.0,"Henry is generally well-behaved, but he is occasionally arrogant and vain. Henry is at heart a hard worker, but his frequent bouts of illness hinder his work.",Art,Manga,,"Internet Archive Wishlist;Technique;Cartooning;Comic strip characters;Comic books, strips",Japan,https://www.googleapis.com/books/v1/volumes/AnAp6F7H440C,https://openlibrary.org/books/OL23654656M/Manga_for_the_beginner_chibis,http://books.google.com/books/content?id=AnAp6F7H440C&printsec=frontcover&img=1&zoom=1&source=gbs_api,741.5/1
Manga for the Beginner,Everything You Need to Know to Get Started Right Away!,His,0,9780823030835,1.0,1.0,Christopher Hart,Watson-Guptill,2008,192.0,"A comprehensive tutorial for the aspiring manga artist uses a step-by-step format to take readers through the entire drawing process, from basic head and figure work to dynamic action poses, fashion, special effects, lighting and shading, perspective, and popular manga types and characters. Original. 35,000 first printing.",Art,Manga,,"Technique;Cartooning;Comic books, strips;Internet Archive Wishlist",Japan,https://www.googleapis.com/books/v1/volumes/uaPtcwgndy8C,https://openlibrary.org/books/OL16382734M/Manga_for_the_beginner,http://books.google.com/books/content?id=uaPtcwgndy8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,741.5/1
Drawing Manga,"Animals, Chibis, and Other Adorable Creatures",His,0,9780823095339,1.0,1.0,J. C. Amberlyn,Watson-Guptill Publications,2009,160.0,"Gives an overview of popular manga techniques, profiles manga animals, and features step-by-step character directions.",Art,Manga,,"Internet Archive Wishlist;Technique;Cartooning;Comic strip characters;Comic books, strips",Japan,https://www.googleapis.com/books/v1/volumes/FWRmIG-XsfEC,https://openlibrary.org/books/OL24013060M/Drawing_manga,http://books.google.com/books/content?id=FWRmIG-XsfEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,741.5/3620952
Coaching the 3-4-1-2 and 4-2-3-1,,His,1,1591640261,1.0,1.0,Massimo Lucchesi,Reedswain Inc.,2012-05,286.0,This book covers both the attack and defense phases in these popular modern zone formations. Lucchesi starts with a discussion of the characteristics of the players at each position and builds into a comprehensive tactical overview complete with build-up options and attacking schemes in the attack and marking responsibilities and zonal movement in defense. Also includes schemes for countering specific formations.,Sports & Recreation,Soccer,,,,https://www.googleapis.com/books/v1/volumes/M_sSBgAAQBAJ,https://openlibrary.org/books/OL8856786M/Coaching_the_3-4-1-2_and_4-2-3-1,http://books.google.com/books/content?id=M_sSBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
The Art of Soccer,A Better Way to Play,His,1,0962683426,1.0,1.0,Mark G. Catlin;Colleen Hacker,Soccer Book Company,1990-09-01,218.0,A book that explores deep into the working of the game of soccer.,Sports & Recreation,Soccer,,Soccer,,https://www.googleapis.com/books/v1/volumes/_HTYAAAAMAAJ,https://openlibrary.org/books/OL22934468M/The_art_of_soccer,http://books.google.com/books/content?id=_HTYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Complete Idiot's Guide to Music Theory,,His,0,9781592574377,1.0,1.0,Michael Miller,Penguin,2005,314.0,MILLER/CIG MUSIC THEORY 2E,Music,Music,,Music theory;Elementary works,,https://www.googleapis.com/books/v1/volumes/sTMbuSQdqPMC,https://openlibrary.org/books/OL23018029M/The_complete_idiot's_guide_to_music_theory,http://books.google.com/books/content?id=sTMbuSQdqPMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Teach Yourself to Read Music,"Guide for Pop, Rock, Blues and Jazz Singers",His,0,0793594219,,1.0,Jeffrey Deutsch,"Houston Publishing, Inc.","January 1, 1998",,,,Music,,Internet Archive Wishlist,,,https://openlibrary.org/books/OL7814713M/Teach_Yourself_to_Read_Music,https://covers.openlibrary.org/b/id/1504568-S.jpg,
The digital photography book,the step-by-step secrets for how to make your photos look like the pros'!,His,1,9780321474049,,1.0,,Peachpit Press,2006,,,,Photography,,Photography;Digital techniques,,,https://openlibrary.org/books/OL17882074M/The_digital_photography_book,,775
The digital photography book.,the step-by-step secrets for how to make your photos look like the pros'!,His,1,9780321524768,,1.0,,Peachpit Press,2007,,,,Photography,,,,,https://openlibrary.org/books/OL23109603M/The_digital_photography_book.,,775
The Digital Photography Book,The step-by-step secrets for how to make your photos look like the pros'!,His,1,9780321617651,1.0,1.0,Scott Kelby,Peachpit Press;Pearson Education [distributor],2009,243.0,"Furnishes an overview of the latest in digital technology, including cameras and equipment, as well as the essential techniques and skills of the photographic process--exposure, lighting, shutter speed, depth of field, and resolution--and tips on how to avoid hours of photo-editing by taking great photographs the first time.",Photography,Photography,,Photography;Digital techniques,,https://www.googleapis.com/books/v1/volumes/zdH4mQEACAAJ,https://openlibrary.org/books/OL25536577M/The_digital_photography_book,http://books.google.com/books/content?id=zdH4mQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,775
Master Shots,100 Advanced Camera Techniques to Get an Expensive Look on Your Low-budget Movie,His,1,9781615930876,1.0,1.0,Christopher Kenworthy,M. Wiese Productions,2012,229.0,"Enhanced by stills from famous motion pictures and computer-generated images, explains framing, composition, and camera movement for achieving a high-budget look for such actions as building tension, anticipating motion, and developing a character's fear.",Performing Arts,Videography,,Motion pictures;Cinematography;Production and direction,,https://www.googleapis.com/books/v1/volumes/gI1RuwEACAAJ,https://openlibrary.org/books/OL25206257M/Master_shots,http://books.google.com/books/content?id=gI1RuwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,777
Master Shots,100 Ways to Shoot Great Dialogue Scenes,His,0,9781615930555,1.0,1.0,Christopher Kenworthy,Michael Wiese Productions,2011,224.0,"Building on the success of the bestselling ""Master Shots,"" this volume goes much deeper, revealing the great directors' secrets for making the most of the visual during the usual static dialogue scene. Includes more than 200 diagrams illustrating camera positions.",Performing Arts,Videography,,Motion pictures;Cinematography;PERFORMING ARTS / Film & Video / General;Production and direction;Dialogue in motion pictures,,https://www.googleapis.com/books/v1/volumes/MrqduAAACAAJ,https://openlibrary.org/books/OL25149451M/Master_shots_volume_2,http://books.google.com/books/content?id=MrqduAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,777
Master Shots,"100 Setups, Scenes, and Moves for Your Breakthrough Movie. The director's vision",His,0,9781615931545,1.0,1.0,Christopher Kenworthy,Michael Wiese Productions,2013,223.0,"A highly visual exploration of the best shots, moves, and set-ups in the industry. This books reveals the secrets behind each shot’s success, so it can be adapted to the director’s individual scenes.",Performing Arts,Videography,,,,https://www.googleapis.com/books/v1/volumes/bJO-mQEACAAJ,https://openlibrary.org/books/OL26185918M/Master_Shots_100_Setups_Scenes_And_Moves_For_Your_Breakthrough_Movie,http://books.google.com/books/content?id=bJO-mQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Filmmaker's Eye,Learning (and Breaking) the Rules of Cinematic Composition,His,1,9780240812175,1.0,,Gustavo Mercado,Taylor & Francis,2010,192.0,"Gustavo Mercado's beautiful book reveals the inner workings of the basic shots that create the cinematic experience. He reveals how visuals communicate to an audience. If you're a novice filmmaker or a seasoned professional, this book will broaden your visual horizons.-Bruce Block, film producer, author of the Visual Story, and visual consultant whose credits include The holiday, Something's Gotta Give, Stuart Little, and Pretty in Pink Telling stories with moving images is one of the most exalted art forms of our era. The Filmmaker's Eye helps you harness the power of this genre by explaining how images work to tell a story. You will gain a deeper understanding of the role each shot plays in the larger narrative scheme of your film, and the technical requirements necessary to achieve powerful and memorable images. Loaded with hundreds of full-color examples, this focused, easy-to-reference guide shows you how to become an eloquent visual storyteller through effective and expressive choices for each and every shot in your film.",Performing Arts,Videography,,,,https://www.googleapis.com/books/v1/volumes/lQFwfs7YDzAC,,http://books.google.com/books/content?id=lQFwfs7YDzAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
How to Shoot Video That Doesn't Suck,,His,1,9780761163237,1.0,1.0,Steve Stockman,Workman Publishing,2011,248.0,"Offers step-by-step instructions for making films and videos with tips, personal anecdotes, and exercises.",Photography,Videography,,"Video recording;Production and direction;Video recordings;Amateurs' manuals;Digital cinematography;Cinematography;Handbooks, manuals",,https://www.googleapis.com/books/v1/volumes/FlkFnhvUBEcC,https://openlibrary.org/books/OL25010886M/How_to_shoot_video_that_doesn't_suck,http://books.google.com/books/content?id=FlkFnhvUBEcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,777/.6
Joy of Cooking,Joy of Cooking,His,0,9780743246262,1.0,1.0,Irma S. Rombauer;Marion Rombauer Becker;Ethan Becker,Scribner,2006-10-31,1152.0,"For the seventy-fifth anniversary of the Joy of Cooking, Joy comes full circle in a revision based on the 1975 edition which restores the voice of the original authors; focuses on American home cooking, not chef cuisine; and restores many beloved recipes lost in the most recent revision. Seventy-five years ago, a St. Louis widow named Irma Rombauer took her life savings and self-published a book called The Joy of Cooking. Her daughter Marion tested recipes and made the illustrations, and they sold their mother-daughter project from Irma's apartment. Today, nine revisions later, the Joy of Cooking—selected by The New York Public Library as one of the 150 most important and influential books of the twentieth century—has taught tens of millions of people to cook, helped feed and delight millions beyond that, answered countless kitchen and food questions, and averted many a cooking crisis. Ethan Becker, Marion's son, leads the latest generation of JOY, still a family affair, into the twenty-first century with a seventy-fifth anniversary edition that draws upon the best of the past while keeping its eye on the way we cook now. It features a rediscovery of the witty, clear voices of Marion Becker and Irma Rombauer, whose first instructions to the cook were “stand facing the stove.” JOY remains the greatest teaching cookbook ever written. Reference material gives cooks the precise information they need for success. New illustrations focus on techniques, including everything from knife skills to splitting cake layers, setting a table, and making tamales. This edition also brings back the encyclopedic chapter Know Your Ingredients. The chapter that novices and pros alike have consulted for over thirty years has been revised, expanded, and banded, making it a book within a book. Cooking Methods shows cooks how to braise, steam, roast, sauté, and deep-fry effortlessly, while an all-new Nutrition chapter has the latest thinking on healthy eating—as well as a large dose of common sense. This edition restores the personality of the book, reinstating popular elements such as the grab-bag Brunch, Lunch, and Supper chapter and chapters on frozen desserts, cocktails, beer and wine, canning, salting, smoking, jellies and preserves, pickles and relishes, and freezing foods. Fruit recipes bring these favorite ingredients into all courses of the meal, and there is a new grains chart. There are even recipes kids will enjoy making and eating, such as Chocolate Dipped Bananas, Dyed Easter Eggs, and the ever-popular Pizza. In addition to hundreds of brand-new recipes, this JOY is filled with many recipes from all previous editions, retested and reinvented for today's tastes. This is the JOY for how we live now. Knowing that most cooks are sometimes in a hurry to make a meal, the JOY now has many new dishes ready in thirty minutes or less. Slow cooker recipes have been added for the first time, and Tuna Casserole made with canned cream of mushroom soup is back. This JOY shares how to save time without losing flavor by using quality convenience foods such as canned stocks and broths, beans, tomatoes, and soups, as well as a wide array of frozen ingredients. Cooking creatively with leftovers emphasizes ease and economy, and casseroles—those simple, satisfying, make-ahead, no-fuss dishes—abound. Especially important to busy households is a new section that teaches how to cook and freeze for a day and eat for a week, in an effort to eat more home-cooked meals, save money, and dine well. As always, JOY grows with the times: this edition boasts an expanded Vegetables chapter, including instructions on how to cook vegetables in the microwave, and an expanded baking section, Irma's passion—always considered a stand-alone bible within the JOY. This all-new, all-purpose anniversary edition of the Joy of Cooking offers endless choice for virtually every occasion, situation, and need, from a ten-minute stir-fry on a weekday night to Baby Back Ribs and Grilled Corn in the backyard, or a towering Chocolate Layer Cake with Chocolate Fudge Frosting and Homemade Vanilla Ice Cream. JOY will show you the delicious way just as it has done for countless cooks before you. Even after seventy-five years, the span of culinary information is breathtaking and covers everything from boiling eggs (there are two schools of thought) to showstopping, celebratory dishes such as Beef Wellington, Roast Turkey and Bread Stuffing, and Crown Roast of Pork. Happy Anniversary, JOY!",Cooking,Cooking,,American Cookery;Appetizers;Barbecue cookery;Breakfasts;Brunches;Canning and preserving;Cocktails;Cookery (Chicken);Cookery (Pasta);Cookery (Salad dressing);Lending library;Miniature books;Pies;Salad dressing;Salads;Soups;Specimens;Stews;Vegetarian cookery;cooking;Kookkunst;Accessible book;Protected DAISY;In library;American Cooking;Cooking (Chicken);Barbecuing;Long Now Manual for Civilization,,https://www.googleapis.com/books/v1/volumes/kpfSAAAACAAJ,https://openlibrary.org/books/OL17216076M/Joy_of_Cooking,http://books.google.com/books/content?id=kpfSAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Bread Lover's Bread Machine Cookbook,"A Master Baker's 300 Favorite Recipes for Perfect-every-time Bread, from Every Kind of Machine",His,0,9781558321564,1.0,1.0,Beth Hensperger,Harvard Common Press,2000-01-01,643.0,"The author, a ""master baker,"" reveals how she transcended her skepticism over bread machines and discusses the wide variety of techniques and breads available to home bakers. Simultaneous.",Cooking,Cooking,,Bread;Automatic bread machines,,https://www.googleapis.com/books/v1/volumes/Ew8rS8PCkpoC,https://openlibrary.org/books/OL8604841M/The_Bread_Lover's_Bread_Machine_Cookbook,http://books.google.com/books/content?id=Ew8rS8PCkpoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
How to Bake,,Hers,0,9781408819494,1.0,,Paul Hollywood,A&C Black,2013-02-19,303.0,All the secrets to baking revealed in this scrumptious cookbook.,Cooking,Cooking,,,,https://www.googleapis.com/books/v1/volumes/UGezCBFz4VUC,,http://books.google.com/books/content?id=UGezCBFz4VUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
